comment_1,label_1,label_not_1,comment_2,label_2,label_not_2,comment_3,label_3,label_not_3,comment_4,label_4,label_not_4,comment_5,label_5,label_not_5,comment_t_1,label_t_1,label_not_t_1,truth_t_1,comment_t_2,label_t_2,label_not_t_2,truth_t_2,comment_t_3,label_t_3,label_not_t_3,truth_t_3
"They're trying to turn the Internet into a mirror version of television, in other words turn it into a wasteland of celebrity worship and wipe out all of it's potential as a medium for informing and educating.",Inappropriate,Appropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,"It ain't right unless it's White.",Appropriate,Inappropriate,"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,"A woman's true place is in the care for her family and her husband. Keep them at home. That's the only way we can preserve our culture.",Appropriate,Inappropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Inappropriate,Appropriate,Appropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Inappropriate,Appropriate,"It ain't right unless it's White."
"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Appropriate,Inappropriate,"It ain't right unless it's White.",Appropriate,Inappropriate,"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"St. Patty's day weekend is like Christmas for black dudes who like white chicks. Happy holidays boys.",Appropriate,Inappropriate,Appropriate,"Yep I totally agree, the minute the Jew press see's the Klan outfits, that's all they will talk about, and justify the white murders.",Inappropriate,Appropriate,Inappropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Inappropriate,Appropriate,"St. Patty's day weekend is like Christmas for black dudes who like white chicks. Happy holidays boys."
"It ain't right unless it's White.",Appropriate,Inappropriate,"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?",Appropriate,Inappropriate,Appropriate,"The number one problem in this country is the voters and their choices.",Appropriate,Inappropriate,Appropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Inappropriate,Appropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?"
"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Inappropriate,Appropriate,Inappropriate,"Fifteen years on and they still blame white rule.",Inappropriate,Appropriate,Inappropriate,"All the jews I have ever known will do anything for money.",Appropriate,Inappropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . ."
"All the jews I have ever known will do anything for money.",Inappropriate,Appropriate,"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Inappropriate,Appropriate,Inappropriate,"They talk and talk and talk but before they ever accomplish anything they always have one bad 'ni * * er moment' and end up getting locked up.",Inappropriate,Appropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Appropriate,Inappropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country."
"There's something so gross and such an assault on the senses as the sound of an European romance language coming from the mouths of savages ! . .",Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,"Perfect Obama's dad born in Africa, Mitt Romney's dad born in Mexico. Any pure breeds left?",Inappropriate,Appropriate,Inappropriate,"1/2 mexican, 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all.",Inappropriate,Appropriate,Inappropriate,"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Inappropriate,Appropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there."
"So we have ox-driven ambulances in Zimbabwe and donkey powered police in South Africa ...",Appropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"Their gods often had pale skin and blue eyes but I suppose literacy isn't valued highly by their cultural intelligencia.",Inappropriate,Appropriate,Inappropriate,"Women and cows deserve the same respect in this country!",Inappropriate,Appropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Inappropriate,Appropriate,"The number one problem in this country is the voters and their choices."
"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Inappropriate,Appropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"a cop is armed to protect himself!!!!!",Inappropriate,Appropriate,"Great image of the Jew as a poisonous mushroom.",Inappropriate,Appropriate,Inappropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Appropriate,Inappropriate,Appropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Inappropriate,Appropriate,"The number one problem in this country is the voters and their choices."
"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Appropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"a cop is armed to protect himself!!!!!",Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"Perfect Obama's dad born in Africa, Mitt Romney's dad born in Mexico. Any pure breeds left?",Inappropriate,Appropriate,Inappropriate,"I'm reporting here that I haven't seen or heard anything on talk radio or TV that even hints at Jewish supremacist ethnic cleansing of Whites from USA or Europe.",Inappropriate,Appropriate,Inappropriate,"The number one problem in this country is the voters and their choices.",Appropriate,Inappropriate,"a cop is armed to protect himself!!!!!"
"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Appropriate,Inappropriate,"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"a cop is armed to protect himself!!!!!",Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?",Appropriate,Inappropriate,Appropriate,"Women and cows deserve the same respect in this country!",Inappropriate,Appropriate,Inappropriate,"The best way to reduce abortions is to provide real sex education in the schools, coupled wth real female-centric birth control for all women of child-bearing age, yes this means your teenaged daghters as well..",Inappropriate,Appropriate,"The number one problem in this country is the voters and their choices."
"The number one problem in this country is the voters and their choices.",Inappropriate,Appropriate,"a cop is armed to protect himself!!!!!",Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"If I had a wife I’d beat the hell out of her tonight lol, jk.",Appropriate,Inappropriate,Inappropriate,"I see a nation where I can walk out my front door and not feel like a minority in my own country.",Inappropriate,Appropriate,Inappropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Appropriate,Inappropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it."
"a cop is armed to protect himself!!!!!",Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Inappropriate,Appropriate,"Wow, you're a truly terrible person.",Appropriate,Inappropriate,Appropriate,"When a woman says no, respect the answer but don't give up unless she says 'never'. If she says 'never' with a smirk, you still have a chance.",Inappropriate,Appropriate,Inappropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Appropriate,Inappropriate,"Wow, you're a truly terrible person."
"White or not, if people respect the law most of this wouldn't be happening.",Inappropriate,Appropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Inappropriate,Appropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?",Appropriate,Inappropriate,Appropriate,"I like to listen to this preacher, but why do black preachers always have to scream.",Appropriate,Inappropriate,Appropriate,"White or not, if people respect the law most of this wouldn't be happening.",Appropriate,Inappropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?"
"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Inappropriate,Appropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"Wow, you're a truly terrible person.",Inappropriate,Appropriate,"I'm reporting here that I haven't seen or heard anything on talk radio or TV that even hints at Jewish supremacist ethnic cleansing of Whites from USA or Europe.",Inappropriate,Appropriate,Inappropriate,"It is always about divide and conquer. If you look at the Golden Dawn pictures they usually have women around there.",Appropriate,Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Appropriate,Inappropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation."
"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Inappropriate,Appropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Inappropriate,Appropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"Wow, you're a truly terrible person.",Inappropriate,Appropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?",Appropriate,Inappropriate,Appropriate,"The number one problem in this country is the voters and their choices.",Appropriate,Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Appropriate,Inappropriate,"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation."
"This is where we are at as a nation? All the hate should go towards the Government. They are the reason we are where we are at as a nation.",Inappropriate,Appropriate,"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"Wow, you're a truly terrible person.",Inappropriate,Appropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,"Racist a**hole",Appropriate,Inappropriate,"Great image of the Jew as a poisonous mushroom.",Inappropriate,Appropriate,Inappropriate,"I think it’s time stupid Liberals move out of the 1950s and stop calling people black. Let’s be Americans instead.",Appropriate,Inappropriate,Appropriate,"Wow, you're a truly terrible person.",Appropriate,Inappropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?"
"The filthy cop-hating racist thugs of Black LIES Matter have turned the deep South into a cesspool of black racial hatred. They refuse to acknowedge how far the South has progressed since the 1960s.",Appropriate,Inappropriate,"Wow, you're a truly terrible person.",Inappropriate,Appropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,"Racist a**hole",Appropriate,Inappropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,"Women and cows deserve the same respect in this country!",Inappropriate,Appropriate,Inappropriate,"A woman's true place is in the care for her family and her husband. Keep them at home. That's the only way we can preserve our culture.",Appropriate,Inappropriate,Inappropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Inappropriate,Appropriate,"Women and cows deserve the same respect in this country!"
"Wow, you're a truly terrible person.",Inappropriate,Appropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,"Racist a**hole",Appropriate,Inappropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?",Inappropriate,Appropriate,"We are being played by our government and their media. They are creating the racial tension that leads to these events. Divide and conquer - and we are failing for it.",Appropriate,Inappropriate,Appropriate,"Nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place.",Appropriate,Inappropriate,Appropriate,"Wow, you're a truly terrible person.",Appropriate,Inappropriate,"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?"
"Oh shut u. Most of black culture is making thugs and criminals famous. Remember Freddie Gray?",Appropriate,Inappropriate,"Racist a**hole",Appropriate,Inappropriate,"Obama’s main goal as a black Muslim president was to recruit as many black people into the Muslim life style.... this will take years to undo unless we put a end to it.",Appropriate,Inappropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?",Inappropriate,Appropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed.",Inappropriate,Appropriate,"It ain't right unless it's White.",Inappropriate,Appropriate,Inappropriate,"There is no justification for killing as people indicate in this thread. The cops shot were innocent and shot just because they are cops. How many of the cops shot and killed might have already saved black lives?",Appropriate,Inappropriate,Appropriate,"Why is it considered a hate crime when a white kills a black, but these ambushing police are not called a hate crime and not called terrorist attacks. What is going on, people?",Appropriate,Inappropriate,"If I were to punch a white guy talking sh*t in a bar, same old. If I were to punch a black guy talking sh*t in a bar, it automatically considered a hate crime. Case closed."
